,review,sent,sent_pred
,barangnya bagus,1,1
,pengiriman lama,0,0
,"barangnya bagus, sama sekali gak jelek",0,1
,bener benerr baguss bangett rajutannya rapih dan tebell worth to buy buat harga,1,1
,mkasih tth ku          ,1,1
,di judul di deskripsi mana yang bener di judul juga di tulis smart,0,0
,mantaapp selalu memuaskan          ,1,1
,saya komplain neh saya ada beli beberapa barang harga saya beli dengan total,0,0
,kesekian kalinya belanja disini nsemua suka bajunya nmoga sellu jadi langgann nthanks seller,1,1
,siiìiip            ,1,1
,ini tidak ada gratis tempered glas nya      ,0,0
,bulan lalu jam segini lagi di mobil balik ke bekasi dengan army lainnya,0,0
,tidak ada kukus          ,0,0
,cepat kirim deadline          ,1,1
,penguriman nya sangat cepat udah dipasang juga tapi sayang banget aku pikir ada,1,0
,mantab gan barang sudah sampai dalam waktu hari sertelah saya buka barangnya dalam,1,1
,packing sangat aman kiriman sesuai        ,1,1
,packing baik barang sesuai pesan cuma kirim lama pilih jne yes tetapi baru,0,0
,barang tidak sesuai peaanan parah banget       ,0,0
,beli ini tombol penghapusnya ndk bisa fungsi semua mau komplain harus ada vidio,0,0
,barang nya tidak terbaca di laptop       ,0,0
,kecewa tidak sampai minggu beli headphone ini ear cushion nya copot sendiri jahitanya,0,0
,barang exp tinggal bln lagi mohon depa cantum terang exp   ,0,0
,barangnya kurang memuaskan yang diminta merah eh yg sampai warna biru dan gak,0,0
,barang sesuai foto dan deskripsi        ,1,1
,cepat sekali pengirimannya packing rapih stick berfungsi dengan baik semuanya sangat puas terima,1,1
,lucuu bgtt real kyk difoto bahannya tebel tp gapanas nyamanbgt pokoknya the bestt,1,1
,sudah hr dr estimasi brng blm sampai paket pun tidak bisa di lacak,0,0
,barang sudah sampai recommended seller fast respon dapet bonus pula   ,1,1
,barang telah di terima dan memuaskan       ,1,1
,bagus banget bahan lembut cocok untuk anak anak semoga selalu amanah mau beli,1,1
,puas banget pas dapat harga murah dibandingkan yang lainnya    ,1,1
,wow cepat bgt diantarnya pesan en bayarnya kemarin sore eh siang ini dah,1,1
,barang sesuai pesan namun akan lebih baik apabila lebih cepat respon ny ,0,0
,packing kurang baik dus penyok        ,0,0
,soundnya sih lumyan bagus klo politron cuma tv nya kaya buatan rumhan bkn,1,0
,parah isi gb yg bisa dipake cuman gb doang lbh dr itu filenya,0,0
,oi semuanya kalo baca ini ingat kalo review barang gosah yang lu review,1,0
,ok barangnya sesuai          ,1,1
,nyata kecil ya tetapi gp moga cocok di kulit kirim oke packing aman,0,1
,pengiriman payah kalo pake jne lama bgt dulu pernah bepi yg inch jasa,0,0
,cracked in delivery in corner after weeks and only dvd s played not,0,0
,barang sudah keterima tapi setelah hari remote nya ga jalan ini masih garansi,1,0
,barangnya bagus cm brg yg dtg tdk sesuai permintaan saya pesen darkbrow dtgnya,0,0
,jadi cuma penyok doang bayangin kalau mobil kecil sejenis brio dk sudah ringsek,0,0
,yong sama bagus banget         ,1,1
,tidak hanya itu untuk visual studio saya bisa buka beberapa project sekaligus sehingga,0,0
,pureit yang saya beli ini dalam rangka coba agar mudah keluarga di rumah,1,1
,terima kasih atas pelayananya sangat profesional       ,1,1
,sangat responsif sabar ntapsoul lah        ,1,1
,barang cepat sampai packing aman rapih product tidak ada cacat   ,0,1
,sudah sampai belum di coba moga bagus ya     ,0,1
,sesuai yg di harapkan         ,1,1
,tidak pandai           ,0,0
,ada yg bisa kasih info ambil output audio buat masuk ke speaker aktif,1,0
,barang yg dikirim sih packingnya bagus cuman ini bukan seri lc lei tapi,0,0
,unitnya bagus berjalan normal tapi saya pesan unit kabel usb gak bsa dipake,0,0
